,2017_06_30 screen printed array 1,,,,,
run ,1,1,1,1,1,1
temperature ,20,25,30,35,40,60
actual temperature,23,27,32,37,43,63
1,10.2,8.18,6.69,4.7,4,2.58
2,5.46,4.81,2.89,2.39,2.22,1.44
3,8.4,7.19,4.24,3.36,3.06,1.72
4,6.08,5.51,4.97,4.04,2.83,2.34
5,4.99,4.15,3.16,2.25,1.94,1.21
6,5.64,5,4.02,2.77,2.43,1.63
7,11.08,8.71,7.82,5.46,4.92,3.22
8,5.1,3.82,2.77,2,1.69,1
9,5.86,5.15,4.51,3.61,2.82,1.66
10,5.6,4.94,4.13,3.14,2.5,1.25
11,5.47,4.39,2.8,2.37,1.75,0.99
12,5.39,4.41,3.31,2.56,1.99,0.98
13,6.52,4.68,3.07,2.66,2.09,1
14,5.17,4.37,3.16,2.33,1.93,0.91
15,5.06,3.28,2.17,1.89,1.56,0.68
16,4.96,4.27,3.55,2.62,2.04,1.03
